name
Administrador
Técnico Electromecánico
Ingeniero de Mantenimiento
Ingeniero de Proyectos y servicios
Ajustador de Troquelado
Operador de Troquelado
Ayudante de Troquelado
Operador de Corte
Ayudante de Corte
Operador de Laminación
Ayudante de Laminación
Operador de Impresión
Ayudante de Impresión
Supervisor de Producción
Montacarguista
Supervisor de Almacén
Gerente de Almacén
Gerente de Producción
Gerente de Mantenimiento
Gerente de Contabilidad
Gerente de Calidad
Gerente de Pre prensa
Gerente General
Inspector de Calidad
Ingeniero de Calidad
Planeador
Recursos Humanos
Coordinador de Seguridad
Técnico de Embarques
Analista de Contabilidad
Coordinador de Pre prensa
Técnico de Pre prensa
Ingeniero de Procesos
ingeniero de Nuevos Productos
